#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=crf mbtree=1 crf=35.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:87 out:87 type:B dur:2 cpbdur:2 q:41.03 aq:25.00 tex:3 mv:82 misc:291 imb:0 pmb:8 smb:3592 d:t ref:0 ;
in:86 out:88 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:2 mv:42 misc:260 imb:0 pmb:5 smb:3595 d:t ref:0 ;
in:88 out:89 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:9 mv:205 misc:338 imb:0 pmb:36 smb:3564 d:- ref:0 ;
in:95 out:90 type:P dur:2 cpbdur:2 q:41.03 aq:18.13 tex:44 mv:293 misc:343 imb:11 pmb:19 smb:3570 d:t ref:0 ;
in:92 out:91 type:B dur:2 cpbdur:2 q:41.03 aq:24.00 tex:6 mv:67 misc:287 imb:0 pmb:10 smb:3590 d:t ref:0 ;
in:90 out:92 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:2 mv:67 misc:267 imb:0 pmb:7 smb:3593 d:t ref:0 ;
in:91 out:93 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:4 mv:57 misc:267 imb:0 pmb:7 smb:3593 d:t ref:0 ;
in:93 out:94 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:7 mv:233 misc:328 imb:0 pmb:29 smb:3571 d:- ref:0 ;
in:94 out:95 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:8 mv:210 misc:326 imb:0 pmb:29 smb:3571 d:- ref:0 ;
in:99 out:96 type:P dur:2 cpbdur:2 q:41.03 aq:22.00 tex:22 mv:275 misc:351 imb:10 pmb:19 smb:3571 d:t ref:0 ;
in:97 out:97 type:B dur:2 cpbdur:2 q:41.03 aq:26.00 tex:5 mv:76 misc:287 imb:0 pmb:8 smb:3592 d:t ref:0 ;
in:96 out:98 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:2 mv:42 misc:260 imb:0 pmb:5 smb:3595 d:t ref:0 ;
in:98 out:99 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:10 mv:206 misc:328 imb:0 pmb:32 smb:3568 d:- ref:0 ;
in:100 out:100 type:I dur:2 cpbdur:2 q:38.12 aq:15.13 tex:8392 mv:2703 misc:441 imb:3600 pmb:0 smb:0 d:t ref:;
in:102 out:101 type:P dur:2 cpbdur:2 q:41.03 aq:21.10 tex:146 mv:237 misc:345 imb:6 pmb:22 smb:3572 d:t ref:0 ;
in:101 out:102 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:t ref:0 ;
in:108 out:103 type:P dur:2 cpbdur:2 q:41.03 aq:22.02 tex:163 mv:331 misc:338 imb:12 pmb:20 smb:3568 d:t ref:0 ;
in:105 out:104 type:B dur:2 cpbdur:2 q:41.03 aq:24.00 tex:7 mv:117 misc:284 imb:1 pmb:11 smb:3588 d:t ref:0 ;
in:103 out:105 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:2 mv:64 misc:270 imb:0 pmb:7 smb:3593 d:t ref:0 ;
in:104 out:106 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:3 mv:74 misc:267 imb:1 pmb:6 smb:3593 d:t ref:0 ;
in:106 out:107 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:8 mv:211 misc:317 imb:0 pmb:32 smb:3568 d:- ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:10 mv:173 misc:321 imb:0 pmb:35 smb:3565 d:- ref:0 ;
in:114 out:109 type:P dur:2 cpbdur:2 q:41.03 aq:22.18 tex:641 mv:377 misc:358 imb:16 pmb:24 smb:3560 d:t ref:0 ;
in:111 out:110 type:B dur:2 cpbdur:2 q:41.03 aq:24.00 tex:5 mv:65 misc:314 imb:0 pmb:18 smb:3582 d:t ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:5 mv:106 misc:289 imb:0 pmb:15 smb:3585 d:t ref:0 ;
in:110 out:112 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:3 mv:59 misc:290 imb:0 pmb:15 smb:3585 d:t ref:0 ;
in:112 out:113 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:7 mv:187 misc:310 imb:0 pmb:26 smb:3574 d:- ref:0 ;
in:113 out:114 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:6 mv:174 misc:316 imb:0 pmb:28 smb:3572 d:- ref:0 ;
in:120 out:115 type:P dur:2 cpbdur:2 q:41.03 aq:21.91 tex:160 mv:288 misc:352 imb:12 pmb:18 smb:3570 d:t ref:0 ;
in:117 out:116 type:B dur:2 cpbdur:2 q:41.03 aq:24.00 tex:4 mv:68 misc:296 imb:0 pmb:11 smb:3589 d:t ref:0 ;
in:115 out:117 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:5 mv:79 misc:268 imb:0 pmb:9 smb:3591 d:t ref:0 ;
in:116 out:118 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:2 mv:82 misc:268 imb:0 pmb:9 smb:3591 d:t ref:0 ;
in:118 out:119 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:9 mv:183 misc:312 imb:0 pmb:28 smb:3572 d:- ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:15 mv:194 misc:303 imb:1 pmb:29 smb:3570 d:- ref:0 ;
in:125 out:121 type:P dur:2 cpbdur:2 q:41.03 aq:21.16 tex:163 mv:251 misc:338 imb:12 pmb:18 smb:3570 d:t ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:41.03 aq:24.00 tex:4 mv:47 misc:285 imb:0 pmb:9 smb:3591 d:t ref:0 ;
